src_ip,dst_ip,protocol,src_port,dst_port,pkt_len
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,85
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,85
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,85
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,90
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,85
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,85
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,86
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,1292
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,103
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,85
10.0.0.121,196.49.26.140,UDP,51308.0,443.0,86
196.49.26.140,10.0.0.121,UDP,443.0,51308.0,68
10.0.0.20,239.255.255.250,UDP,52073.0,1900.0,365
10.0.0.121,224.0.0.22,OTHER,,,54
10.0.0.20,239.255.255.250,UDP,52073.0,1900.0,365
10.0.0.20,239.255.255.250,UDP,52073.0,1900.0,374
10.0.0.20,239.255.255.250,UDP,52073.0,1900.0,374
10.0.0.20,239.255.255.250,UDP,52073.0,1900.0,429
10.0.0.20,239.255.255.250,UDP,52073.0,1900.0,429
10.0.0.20,239.255.255.250,UDP,39702.0,1900.0,439
10.0.0.20,239.255.255.250,UDP,39702.0,1900.0,439
10.0.0.121,157.240.212.60,TCP,60344.0,443.0,82
157.240.212.60,10.0.0.121,TCP,443.0,60344.0,60
10.0.0.121,157.240.212.60,UDP,57323.0,443.0,1292
10.0.0.121,157.240.212.60,UDP,57323.0,443.0,1292
10.0.0.121,157.240.212.60,UDP,57323.0,443.0,119
10.0.0.121,157.240.212.60,UDP,57323.0,443.0,848
157.240.212.60,10.0.0.121,TCP,443.0,60344.0,82
157.240.212.60,10.0.0.121,UDP,443.0,57323.0,1274
157.240.212.60,10.0.0.121,TCP,443.0,60344.0,78
10.0.0.121,157.240.212.60,TCP,60344.0,443.0,54
10.0.0.121,157.240.212.60,TCP,60344.0,443.0,54
157.240.212.60,10.0.0.121,UDP,443.0,57323.0,967
157.240.212.60,10.0.0.121,TCP,443.0,60344.0,60
157.240.212.60,10.0.0.121,UDP,443.0,57323.0,90
157.240.212.60,10.0.0.121,UDP,443.0,57323.0,122
157.240.212.60,10.0.0.121,UDP,443.0,57323.0,90
157.240.212.60,10.0.0.121,UDP,443.0,57323.0,282
157.240.212.60,10.0.0.121,UDP,443.0,57323.0,90
10.0.0.121,157.240.212.60,TCP,60344.0,443.0,54
10.0.0.121,157.240.212.60,UDP,57323.0,443.0,123
10.0.0.121,157.240.212.60,UDP,57323.0,443.0,76
10.0.0.121,157.240.212.60,UDP,57323.0,443.0,80
104.18.39.21,10.0.0.121,TCP,443.0,6930.0,78
10.0.0.121,104.18.39.21,TCP,6930.0,443.0,82
104.18.39.21,10.0.0.121,TCP,443.0,6930.0,60
157.240.212.60,10.0.0.121,UDP,443.0,57323.0,1274
157.240.212.60,10.0.0.121,UDP,443.0,57323.0,967
157.240.212.60,10.0.0.121,UDP,443.0,57323.0,109
157.240.212.60,10.0.0.121,UDP,443.0,57323.0,109
10.0.0.121,157.240.212.60,UDP,57323.0,443.0,155
10.0.0.121,157.240.212.60,UDP,57323.0,443.0,78
10.0.0.121,157.240.212.60,UDP,57323.0,443.0,78
157.240.212.60,10.0.0.121,TCP,443.0,60344.0,60
157.240.212.60,10.0.0.121,UDP,443.0,57323.0,81
157.240.212.60,10.0.0.121,UDP,443.0,57323.0,154
157.240.212.60,10.0.0.121,UDP,443.0,57323.0,314
